2012-09-05T20:09:35.061803Z | source | DEBUG | Event: {'size': 531, 'timestamp': 1346875775.061686, 'basename': '823', 'uri': 'http://localhost:8888/resources/823', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.061686Z', 'changetype': 'CREATED', 'md5': 'OfNXXd2eY0ld2FE2Ei61jQ=='}
2012-09-05T20:09:35.061961Z | source | DEBUG | Event: {'size': 292, 'timestamp': 1346875775.061852, 'basename': '824', 'uri': 'http://localhost:8888/resources/824', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.061852Z', 'changetype': 'CREATED', 'md5': '51MdyKnm0hUEGtEObd3ItA=='}
2012-09-05T20:09:35.062129Z | source | DEBUG | Event: {'size': 634, 'timestamp': 1346875775.06201, 'basename': '825', 'uri': 'http://localhost:8888/resources/825', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.062010Z', 'changetype': 'CREATED', 'md5': '6ThuS3wGmA4hz3SBV/dK2g=='}
2012-09-05T20:09:35.062307Z | source | DEBUG | Event: {'size': 955, 'timestamp': 1346875775.062179, 'basename': '826', 'uri': 'http://localhost:8888/resources/826', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.062179Z', 'changetype': 'CREATED', 'md5': '0i0mdyqA1R1ddYYo5+nKAQ=='}
2012-09-05T20:09:35.062485Z | source | DEBUG | Event: {'size': 451, 'timestamp': 1346875775.062357, 'basename': '827', 'uri': 'http://localhost:8888/resources/827', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.062357Z', 'changetype': 'CREATED', 'md5': '27gz6IWyNztoMM/eYCeAIA=='}
2012-09-05T20:09:35.062659Z | source | DEBUG | Event: {'size': 480, 'timestamp': 1346875775.062538, 'basename': '828', 'uri': 'http://localhost:8888/resources/828', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.062538Z', 'changetype': 'CREATED', 'md5': 'n1YHZTtQZtUYdPcc8WvaNA=='}
2012-09-05T20:09:35.062827Z | source | DEBUG | Event: {'size': 178, 'timestamp': 1346875775.062722, 'basename': '829', 'uri': 'http://localhost:8888/resources/829', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.062722Z', 'changetype': 'CREATED', 'md5': 'eLiv+rG1aHx1sUlSlilk9g=='}
2012-09-05T20:09:35.062984Z | source | DEBUG | Event: {'size': 314, 'timestamp': 1346875775.062876, 'basename': '830', 'uri': 'http://localhost:8888/resources/830', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.062876Z', 'changetype': 'CREATED', 'md5': 'e4iTYZrh+7EqdPpu4X82xQ=='}
2012-09-05T20:09:35.063141Z | source | DEBUG | Event: {'size': 315, 'timestamp': 1346875775.063033, 'basename': '831', 'uri': 'http://localhost:8888/resources/831', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.063033Z', 'changetype': 'CREATED', 'md5': 'w4rqEJZDi+zqLw5twAojHQ=='}
2012-09-05T20:09:35.063306Z | source | DEBUG | Event: {'size': 558, 'timestamp': 1346875775.06319, 'basename': '832', 'uri': 'http://localhost:8888/resources/832', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.063190Z', 'changetype': 'CREATED', 'md5': 'FOmIBaZNgDII5wGftOxFeg=='}
2012-09-05T20:09:35.063455Z | source | DEBUG | Event: {'size': 30, 'timestamp': 1346875775.063356, 'basename': '833', 'uri': 'http://localhost:8888/resources/833', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.063356Z', 'changetype': 'CREATED', 'md5': 'fLXqlwWoQSk8j0cMPOlSlA=='}
2012-09-05T20:09:35.063629Z | source | DEBUG | Event: {'size': 812, 'timestamp': 1346875775.063505, 'basename': '834', 'uri': 'http://localhost:8888/resources/834', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.063505Z', 'changetype': 'CREATED', 'md5': 'FHaiw4OFPHC4sSDHkPYnhg=='}
2012-09-05T20:09:35.063800Z | source | DEBUG | Event: {'size': 849, 'timestamp': 1346875775.063677, 'basename': '835', 'uri': 'http://localhost:8888/resources/835', 'changeid': None, 'file': None, 'lastmod': '2012-09-05T20:09:35.063677Z', 'changetype': 'CREATED', 'md5': 'PkQpxxRV6EXRR4ivduGs6A=='}
